LHA,cases_per_100k,Date
Prince Rupert,0,2021-05-28
Upper Skeena,7,2021-05-28
Smithers,2,2021-05-28
Kitimat,0,2021-05-28
Terrace,1,2021-05-28
Nisga'a,0,2021-05-28
Quesnel,2,2021-05-28
Burns Lake,0,2021-05-28
Nechako,5,2021-05-28
Prince George,2,2021-05-28
Peace River South,6,2021-05-28
Peace River North,15,2021-05-28
Fort Nelson,32,2021-05-28
Snow Country - Stikine - Telegraph Creek,0,2021-05-28
Fernie,3,2021-06-12
Cranbrook,12,2021-06-12
Kimberley,1,2021-06-12
Windermere,8,2021-06-12
Creston,7,2021-06-12
Golden,0,2021-06-12
Kootenay Lake,4,2021-06-12
Nelson,1,2021-06-12
Castlegar,0,2021-06-12
Arrow Lakes,0,2021-06-12
Trail,0,2021-06-12
Grand Forks,13,2021-06-12
Kettle Valley,0,2021-06-12
Southern Okanagan,5,2021-06-12
Penticton,1,2021-06-12
Keremeos,0,2021-06-12
Princeton,0,2021-06-12
Armstrong/Spallumcheen,3,2021-06-12
Vernon,8,2021-06-12
Central Okanagan,8,2021-06-12
Summerland,1,2021-06-12
Enderby,0,2021-06-12
Revelstoke,1,2021-06-12
Salmon Arm,0,2021-06-12
Kamloops,1,2021-06-12
100 Mile House,0,2021-06-12
North Thompson,0,2021-06-12
Cariboo/Chilcotin,0,2021-06-12
Lillooet,0,2021-06-12
South Cariboo,0,2021-06-12
Merritt,3,2021-06-12
Hope,0,2021-06-12
Chilliwack,3,2021-06-12
Abbotsford,7,2021-06-12
Mission,1,2021-06-12
Agassiz/Harrison,8,2021-06-12
New Westminster,4,2021-06-12
Burnaby,3,2021-06-12
Maple Ridge/Pitt Meadows,6,2021-06-12
Tri-Cities,4,2021-06-12
Langley,3,2021-06-12
Delta,4,2021-06-12
Surrey,6,2021-06-12
South Surrey/White Rock,1,2021-06-12
Richmond,2,2021-06-12
Vancouver - City Centre,3,2021-06-12
Vancouver - Centre North,3,2021-06-12
Vancouver - Northeast,4,2021-06-12
Vancouver - Westside,1,2021-06-12
Vancouver - Midtown,3,2021-06-12
Vancouver - South,2,2021-06-12
North Vancouver,2,2021-06-12
West Vancouver/Bowen Island,1,2021-06-12
Sunshine Coast,0,2021-06-12
Powell River,0,2021-06-12
Howe Sound,1,2021-06-12
Bella Coola Valley,5,2021-06-12
Central Coast,0,2021-06-12
Greater Victoria,1,2021-06-12
Western Communities,0,2021-06-12
Saanich Peninsula,2,2021-06-12
Southern Gulf Islands,0,2021-06-12
Cowichan Valley South,0,2021-06-12
Cowichan Valley West,2,2021-06-12
Cowichan Valley North,0,2021-06-12
Greater Nanaimo,1,2021-06-12
Oceanside,1,2021-06-12
Alberni/Clayoquot,0,2021-06-12
Comox Valley,1,2021-06-12
Greater Campbell River,1,2021-06-12
Vancouver Island West,0,2021-06-12
Vancouver Island North,0,2021-06-12
Haida Gwaii,0,2021-06-12
Prince Rupert,2,2021-06-12
Upper Skeena,7,2021-06-12
Smithers,0,2021-06-12
Kitimat,0,2021-06-12
Terrace,0,2021-06-12
Nisga'a,0,2021-06-12
Quesnel,1,2021-06-12
Burns Lake,2,2021-06-12
Nechako,3,2021-06-12
Prince George,2,2021-06-12
Peace River South,3,2021-06-12
Peace River North,6,2021-06-12
Fort Nelson,4,2021-06-12
Snow Country - Stikine - Telegraph Creek,0,2021-06-12
Fernie,5,2021-06-22
Cranbrook,7,2021-06-22
Kimberley,8,2021-06-22
Windermere,26,2021-06-22
Creston,0,2021-06-22
Golden,0,2021-06-22
Kootenay Lake,15,2021-06-22
Nelson,1,2021-06-22
Castlegar,0,2021-06-22
Arrow Lakes,0,2021-06-22
Trail,0,2021-06-22
Grand Forks,1,2021-06-22
Kettle Valley,0,2021-06-22
Southern Okanagan,0,2021-06-22
Penticton,0,2021-06-22
Keremeos,0,2021-06-22
Princeton,0,2021-06-22
Armstrong/Spallumcheen,0,2021-06-22
Vernon,8,2021-06-22
Central Okanagan,4,2021-06-22
Summerland,0,2021-06-22
Enderby,0,2021-06-22
Revelstoke,0,2021-06-22
Salmon Arm,0,2021-06-22
Kamloops,2,2021-06-22
100 Mile House,0,2021-06-22
North Thompson,0,2021-06-22
Cariboo/Chilcotin,0,2021-06-22
Lillooet,0,2021-06-22
South Cariboo,20,2021-06-22
Merritt,5,2021-06-22
Hope,0,2021-06-22
Chilliwack,4,2021-06-22
Abbotsford,5,2021-06-22
Mission,1,2021-06-22
Agassiz/Harrison,5,2021-06-22
New Westminster,3,2021-06-22
Burnaby,2,2021-06-22
Maple Ridge/Pitt Meadows,5,2021-06-22
Tri-Cities,1,2021-06-22
Langley,2,2021-06-22
Delta,3,2021-06-22
Surrey,4,2021-06-22
South Surrey/White Rock,0,2021-06-22
Richmond,2,2021-06-22
Vancouver - City Centre,1,2021-06-22
Vancouver - Centre North,5,2021-06-22
Vancouver - Northeast,3,2021-06-22
Vancouver - Westside,1,2021-06-22
Vancouver - Midtown,2,2021-06-22
Vancouver - South,1,2021-06-22
North Vancouver,1,2021-06-22
West Vancouver/Bowen Island,2,2021-06-22
Sunshine Coast,0,2021-06-22
Powell River,1,2021-06-22
Howe Sound,0,2021-06-22
Bella Coola Valley,0,2021-06-22
Central Coast,0,2021-06-22
Greater Victoria,1,2021-06-22
Western Communities,0,2021-06-22
Saanich Peninsula,1,2021-06-22
Southern Gulf Islands,0,2021-06-22
Cowichan Valley South,0,2021-06-22
Cowichan Valley West,0,2021-06-22
Cowichan Valley North,0,2021-06-22
Greater Nanaimo,0,2021-06-22
Oceanside,0,2021-06-22
Alberni/Clayoquot,0,2021-06-22
Comox Valley,1,2021-06-22
Greater Campbell River,0,2021-06-22
Vancouver Island West,0,2021-06-22
Vancouver Island North,0,2021-06-22
Haida Gwaii,0,2021-06-22
Prince Rupert,0,2021-06-22
Upper Skeena,0,2021-06-22
Smithers,0,2021-06-22
Kitimat,0,2021-06-22
Terrace,0,2021-06-22
Nisga'a,0,2021-06-22
Quesnel,0,2021-06-22
Burns Lake,0,2021-06-22
Nechako,0,2021-06-22
Prince George,2,2021-06-22
Peace River South,5,2021-06-22
Peace River North,4,2021-06-22
Fort Nelson,0,2021-06-22
Snow Country - Stikine - Telegraph Creek,0,2021-06-22
Fernie,4,2021-07-05
Cranbrook,1,2021-07-05
Kimberley,0,2021-07-05
Windermere,5,2021-07-05
Creston,0,2021-07-05
Golden,0,2021-07-05
Kootenay Lake,0,2021-07-05
Nelson,0,2021-07-05
Castlegar,0,2021-07-05
Arrow Lakes,0,2021-07-05
Trail,0,2021-07-05
Grand Forks,14,2021-07-05
Kettle Valley,0,2021-07-05
Southern Okanagan,0,2021-07-05
Penticton,2,2021-07-05
Keremeos,0,2021-07-05
Princeton,0,2021-07-05
Armstrong/Spallumcheen,1,2021-07-05
Vernon,2,2021-07-05
Central Okanagan,2,2021-07-05
Summerland,0,2021-07-05
Enderby,3,2021-07-05
Revelstoke,0,2021-07-05
Salmon Arm,0,2021-07-05
Kamloops,1,2021-07-05
100 Mile House,1,2021-07-05
North Thompson,0,2021-07-05
Cariboo/Chilcotin,2,2021-07-05
Lillooet,0,2021-07-05
South Cariboo,6,2021-07-05
Merritt,1,2021-07-05
Hope,5,2021-07-05
Chilliwack,1,2021-07-05
Abbotsford,1,2021-07-05
Mission,0,2021-07-05
Agassiz/Harrison,1,2021-07-05
New Westminster,2,2021-07-05
Burnaby,1,2021-07-05
Maple Ridge/Pitt Meadows,2,2021-07-05
Tri-Cities,1,2021-07-05
Langley,0,2021-07-05
Delta,1,2021-07-05
Surrey,1,2021-07-05
South Surrey/White Rock,0,2021-07-05
Richmond,1,2021-07-05
Vancouver - City Centre,1,2021-07-05
Vancouver - Centre North,1,2021-07-05
Vancouver - Northeast,0,2021-07-05
Vancouver - Westside,1,2021-07-05
Vancouver - Midtown,1,2021-07-05
Vancouver - South,1,2021-07-05
North Vancouver,1,2021-07-05
West Vancouver/Bowen Island,1,2021-07-05
Sunshine Coast,0,2021-07-05
Powell River,0,2021-07-05
Howe Sound,0,2021-07-05
Bella Coola Valley,0,2021-07-05
Central Coast,0,2021-07-05
Greater Victoria,0,2021-07-05
Western Communities,0,2021-07-05
Saanich Peninsula,0,2021-07-05
Southern Gulf Islands,0,2021-07-05
Cowichan Valley South,0,2021-07-05
Cowichan Valley West,0,2021-07-05
Cowichan Valley North,1,2021-07-05
Greater Nanaimo,0,2021-07-05
Oceanside,0,2021-07-05
Alberni/Clayoquot,0,2021-07-05
Comox Valley,0,2021-07-05
Greater Campbell River,0,2021-07-05
Vancouver Island West,0,2021-07-05
Vancouver Island North,0,2021-07-05
Haida Gwaii,0,2021-07-05
Prince Rupert,0,2021-07-05
Upper Skeena,0,2021-07-05
Smithers,0,2021-07-05
Kitimat,0,2021-07-05
Terrace,0,2021-07-05
Nisga'a,0,2021-07-05
Quesnel,0,2021-07-05
Burns Lake,0,2021-07-05
Nechako,1,2021-07-05
Prince George,0,2021-07-05
Peace River South,1,2021-07-05
Peace River North,0,2021-07-05
Fort Nelson,0,2021-07-05
Snow Country - Stikine - Telegraph Creek,0,2021-07-05
Fernie,0,2021-07-09
Cranbrook,2,2021-07-09
Kimberley,1,2021-07-09
Windermere,1,2021-07-09
Creston,0,2021-07-09
Golden,0,2021-07-09
Kootenay Lake,0,2021-07-09
Nelson,2,2021-07-09
Castlegar,1,2021-07-09
Arrow Lakes,3,2021-07-09
Trail,1,2021-07-09
Grand Forks,26,2021-07-09
Kettle Valley,0,2021-07-09
Southern Okanagan,0,2021-07-09
Penticton,0,2021-07-09
Keremeos,0,2021-07-09
Princeton,0,2021-07-09
Armstrong/Spallumcheen,1,2021-07-09
Vernon,2,2021-07-09
Central Okanagan,3,2021-07-09
Summerland,1,2021-07-09
Enderby,9,2021-07-09
Revelstoke,0,2021-07-09
Salmon Arm,0,2021-07-09
Kamloops,1,2021-07-09
100 Mile House,0,2021-07-09
North Thompson,0,2021-07-09
Cariboo/Chilcotin,1,2021-07-09
Lillooet,0,2021-07-09
South Cariboo,0,2021-07-09
Merritt,0,2021-07-09
Hope,6,2021-07-09
Chilliwack,1,2021-07-09
Abbotsford,1,2021-07-09
Mission,1,2021-07-09
Agassiz/Harrison,0,2021-07-09
New Westminster,2,2021-07-09
Burnaby,1,2021-07-09
Maple Ridge/Pitt Meadows,1,2021-07-09
Tri-Cities,0,2021-07-09
Langley,1,2021-07-09
Delta,1,2021-07-09
Surrey,1,2021-07-09
South Surrey/White Rock,1,2021-07-09
Richmond,1,2021-07-09
Vancouver - City Centre,1,2021-07-09
Vancouver - Centre North,1,2021-07-09
Vancouver - Northeast,0,2021-07-09
Vancouver - Westside,1,2021-07-09
Vancouver - Midtown,1,2021-07-09
Vancouver - South,0,2021-07-09
North Vancouver,1,2021-07-09
West Vancouver/Bowen Island,1,2021-07-09
Sunshine Coast,0,2021-07-09
Powell River,0,2021-07-09
Howe Sound,0,2021-07-09
Bella Coola Valley,0,2021-07-09
Central Coast,0,2021-07-09
Greater Victoria,0,2021-07-09
Western Communities,0,2021-07-09
Saanich Peninsula,0,2021-07-09
Southern Gulf Islands,0,2021-07-09
Cowichan Valley South,0,2021-07-09
Cowichan Valley West,0,2021-07-09
Cowichan Valley North,0,2021-07-09
Greater Nanaimo,1,2021-07-09
Oceanside,0,2021-07-09
Alberni/Clayoquot,0,2021-07-09
Comox Valley,0,2021-07-09
Greater Campbell River,0,2021-07-09
Vancouver Island West,0,2021-07-09
Vancouver Island North,0,2021-07-09
Haida Gwaii,0,2021-07-09
Prince Rupert,0,2021-07-09
Upper Skeena,0,2021-07-09
Smithers,0,2021-07-09
Kitimat,0,2021-07-09
Terrace,0,2021-07-09
Nisga'a,0,2021-07-09
Quesnel,0,2021-07-09
Burns Lake,0,2021-07-09
Nechako,0,2021-07-09
Prince George,0,2021-07-09
Peace River South,2,2021-07-09
Peace River North,1,2021-07-09
Fort Nelson,0,2021-07-09
Snow Country - Stikine - Telegraph Creek,0,2021-07-09
Fernie,0,2021-07-13
Cranbrook,2,2021-07-13
Kimberley,0,2021-07-13
Windermere,0,2021-07-13
Creston,0,2021-07-13
Golden,4,2021-07-13
Kootenay Lake,0,2021-07-13
Nelson,2,2021-07-13
Castlegar,4,2021-07-13
Arrow Lakes,0,2021-07-13
Trail,2,2021-07-13
Grand Forks,29,2021-07-13
Kettle Valley,0,2021-07-13
Southern Okanagan,1,2021-07-13
Penticton,0,2021-07-13
Keremeos,0,2021-07-13
Princeton,0,2021-07-13
Armstrong/Spallumcheen,1,2021-07-13
Vernon,2,2021-07-13
Central Okanagan,3,2021-07-13
Summerland,1,2021-07-13
Enderby,7,2021-07-13
Revelstoke,0,2021-07-13
Salmon Arm,0,2021-07-13
Kamloops,0,2021-07-13
100 Mile House,0,2021-07-13
North Thompson,0,2021-07-13
Cariboo/Chilcotin,1,2021-07-13
Lillooet,0,2021-07-13
South Cariboo,0,2021-07-13
Merritt,0,2021-07-13
Hope,0,2021-07-13
Chilliwack,1,2021-07-13
Abbotsford,2,2021-07-13
Mission,3,2021-07-13
Agassiz/Harrison,0,2021-07-13
New Westminster,1,2021-07-13
Burnaby,1,2021-07-13
Maple Ridge/Pitt Meadows,0,2021-07-13
Tri-Cities,0,2021-07-13
Langley,1,2021-07-13
Delta,1,2021-07-13
Surrey,1,2021-07-13
South Surrey/White Rock,1,2021-07-13
Richmond,1,2021-07-13
Vancouver - City Centre,2,2021-07-13
Vancouver - Centre North,2,2021-07-13
Vancouver - Northeast,0,2021-07-13
Vancouver - Westside,1,2021-07-13
Vancouver - Midtown,1,2021-07-13
Vancouver - South,0,2021-07-13
North Vancouver,1,2021-07-13
West Vancouver/Bowen Island,1,2021-07-13
Sunshine Coast,0,2021-07-13
